filepath,mel_path,label,group,split,orig_filepath,aug_type,mic_type,experiment,drill_diameter,coolant,gcode_pattern,drill_series,fixture,label_original
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_142.wav,D:\dataset\mels\medianamente_desgastado\broca_6_2_142_mel.npy,medianamente_desgastado,Con falla/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E3_Micrófono2 (condensador)\limpio_broca6_1_008.wav,D:\dataset\mels\sin_desgaste\limpio_broca6_1_008_mel.npy,sin_desgaste,Con falla limpios/6mm_A100/E1_Micrófono2 (condensador),train,,original,condensador,E3,6,yes,linear,A100,prensa_mecanica,sin_desgaste
D:/dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_477.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca_6_2_477_mel.npy,desgastado,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_211.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca_6_2_211_mel.npy,medianamente_desgastado,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_441.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca_6_2_441_mel.npy,medianamente_desgastado,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E3_Micrófono2 (condensador)\limpio_broca6_1_311.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca6_1_311_mel.npy,medianamente_desgastado,Con falla limpios/6mm_A100/E1_Micrófono2 (condensador),train,,original,condensador,E3,6,yes,linear,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_132.wav,D:\dataset\mels\medianamente_desgastado\broca_6_2_132_mel.npy,medianamente_desgastado,Con falla/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_179.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca_6_2_179_mel.npy,medianamente_desgastado,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_560.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca_6_2_560_mel.npy,desgastado,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E3_Micrófono2 (condensador)\limpio_broca6_1_566.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca6_1_566_mel.npy,desgastado,Con falla limpios/6mm_A100/E1_Micrófono2 (condensador),train,,original,condensador,E3,6,yes,linear,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_262.wav,D:\dataset\mels\medianamente_desgastado\broca_6_2_262_mel.npy,medianamente_desgastado,Con falla/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_159.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca_6_2_159_mel.npy,medianamente_desgastado,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E3_Micrófono2 (condensador)\limpio_broca6_1_477.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca6_1_477_mel.npy,desgastado,Con falla limpios/6mm_A100/E1_Micrófono2 (condensador),train,,original,condensador,E3,6,yes,linear,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_548.wav,D:\dataset\mels\medianamente_desgastado\broca_6_2_548_mel.npy,desgastado,Con falla/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_364.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca_6_2_364_mel.npy,medianamente_desgastado,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_002.wav,D:\dataset\mels\sin_desgaste\broca_6_2_002_mel.npy,sin_desgaste,Con falla/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,sin_desgaste
D:\dataset\Con falla limpios\8mm_A100\E2_Micrófono1 (dinámico)\B02028.wav,D:\dataset\mels\medianamente_desgastado\B02028_mel.npy,medianamente_desgastado,Con falla limpios/8mm_A100/E2_Micrófono1 (dinámico),train,,original,dinamico,E2,8,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_570.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca_6_2_570_mel.npy,desgastado,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_346.wav,D:\dataset\mels\medianamente_desgastado\broca_6_2_346_mel.npy,medianamente_desgastado,Con falla/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_343.wav,D:\dataset\mels\medianamente_desgastado\broca_6_2_343_mel.npy,medianamente_desgastado,Con falla/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E3_Micrófono2 (condensador)\limpio_broca6_1_517.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca6_1_517_mel.npy,desgastado,Con falla limpios/6mm_A100/E1_Micrófono2 (condensador),train,,original,condensador,E3,6,yes,linear,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E3_Micrófono2 (condensador)\limpio_broca6_1_409.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca6_1_409_mel.npy,medianamente_desgastado,Con falla limpios/6mm_A100/E1_Micrófono2 (condensador),train,,original,condensador,E3,6,yes,linear,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_067.wav,D:\dataset\mels\medianamente_desgastado\broca_6_2_067_mel.npy,sin_desgaste,Con falla/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_545.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca_6_2_545_mel.npy,desgastado,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_156.wav,D:\dataset\mels\medianamente_desgastado\broca_6_2_156_mel.npy,medianamente_desgastado,Con falla/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_566.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca_6_2_566_mel.npy,desgastado,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E3_Micrófono2 (condensador)\limpio_broca6_1_086.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca6_1_086_mel.npy,medianamente_desgastado,Con falla limpios/6mm_A100/E1_Micrófono2 (condensador),train,,original,condensador,E3,6,yes,linear,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_247.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca_6_2_247_mel.npy,medianamente_desgastado,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_102.wav,D:\dataset\mels\medianamente_desgastado\broca_6_2_102_mel.npy,medianamente_desgastado,Con falla/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_225.wav,D:\dataset\mels\medianamente_desgastado\broca_6_2_225_mel.npy,medianamente_desgastado,Con falla/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E3_Micrófono2 (condensador)\limpio_broca6_1_061.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca6_1_061_mel.npy,sin_desgaste,Con falla limpios/6mm_A100/E1_Micrófono2 (condensador),train,,original,condensador,E3,6,yes,linear,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_436.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca_6_2_436_mel.npy,medianamente_desgastado,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_200.wav,D:\dataset\mels\medianamente_desgastado\broca_6_2_200_mel.npy,medianamente_desgastado,Con falla/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E3_Micrófono2 (condensador)\limpio_broca6_1_469.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca6_1_469_mel.npy,desgastado,Con falla limpios/6mm_A100/E1_Micrófono2 (condensador),train,,original,condensador,E3,6,yes,linear,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_030.wav,D:\dataset\mels\sin_desgaste\broca_6_2_030_mel.npy,sin_desgaste,Con falla/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,sin_desgaste
D:/dataset\Con falla limpios\6mm_A100\E3_Micrófono2 (condensador)\limpio_broca6_1_155.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca6_1_155_mel.npy,medianamente_desgastado,Con falla limpios/6mm_A100/E1_Micrófono2 (condensador),train,,original,condensador,E3,6,yes,linear,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_056.wav,D:\dataset\mels\medianamente_desgastado\broca_6_2_056_mel.npy,sin_desgaste,Con falla/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_117.wav,D:\dataset\mels\medianamente_desgastado\broca_6_2_117_mel.npy,medianamente_desgastado,Con falla/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E3_Micrófono2 (condensador)\limpio_broca6_1_319.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca6_1_319_mel.npy,medianamente_desgastado,Con falla limpios/6mm_A100/E1_Micrófono2 (condensador),train,,original,condensador,E3,6,yes,linear,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_276.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca_6_2_276_mel.npy,medianamente_desgastado,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_587.wav,D:\dataset\mels\medianamente_desgastado\broca_6_2_587_mel.npy,desgastado,Con falla/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E3_Micrófono2 (condensador)\limpio_broca6_1_007.wav,D:\dataset\mels\sin_desgaste\limpio_broca6_1_007_mel.npy,sin_desgaste,Con falla limpios/6mm_A100/E1_Micrófono2 (condensador),train,,original,condensador,E3,6,yes,linear,A100,prensa_mecanica,sin_desgaste
D:/dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_177.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca_6_2_177_mel.npy,medianamente_desgastado,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_085.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca_6_2_085_mel.npy,sin_desgaste,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E3_Micrófono2 (condensador)\limpio_broca6_1_467.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca6_1_467_mel.npy,desgastado,Con falla limpios/6mm_A100/E1_Micrófono2 (condensador),train,,original,condensador,E3,6,yes,linear,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_339.wav,D:\dataset\mels\medianamente_desgastado\broca_6_2_339_mel.npy,medianamente_desgastado,Con falla/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_192.wav,D:\dataset\mels\medianamente_desgastado\broca_6_2_192_mel.npy,medianamente_desgastado,Con falla/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_106.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca_6_2_106_mel.npy,medianamente_desgastado,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:\dataset\Con falla limpios\8mm_A100\E2_Micrófono1 (dinámico)\B02071.wav,D:\dataset\mels\medianamente_desgastado\B02071_mel.npy,medianamente_desgastado,Con falla limpios/8mm_A100/E2_Micrófono1 (dinámico),train,,original,dinamico,E2,8,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E3_Micrófono2 (condensador)\limpio_broca6_1_022.wav,D:\dataset\mels\sin_desgaste\limpio_broca6_1_022_mel.npy,sin_desgaste,Con falla limpios/6mm_A100/E1_Micrófono2 (condensador),train,,original,condensador,E3,6,yes,linear,A100,prensa_mecanica,sin_desgaste
D:/dataset\Con falla limpios\6mm_A100\E3_Micrófono2 (condensador)\limpio_broca6_1_243.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca6_1_243_mel.npy,medianamente_desgastado,Con falla limpios/6mm_A100/E1_Micrófono2 (condensador),train,,original,condensador,E3,6,yes,linear,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_068.wav,D:\dataset\mels\medianamente_desgastado\broca_6_2_068_mel.npy,sin_desgaste,Con falla/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_015.wav,D:\dataset\mels\sin_desgaste\limpio_broca_6_2_015_mel.npy,sin_desgaste,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,sin_desgaste
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_532.wav,D:\dataset\mels\medianamente_desgastado\broca_6_2_532_mel.npy,desgastado,Con falla/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E3_Micrófono2 (condensador)\limpio_broca6_1_081.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca6_1_081_mel.npy,sin_desgaste,Con falla limpios/6mm_A100/E1_Micrófono2 (condensador),train,,original,condensador,E3,6,yes,linear,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_052.wav,D:\dataset\mels\medianamente_desgastado\broca_6_2_052_mel.npy,sin_desgaste,Con falla/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_348.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca_6_2_348_mel.npy,medianamente_desgastado,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_113.wav,D:\dataset\mels\medianamente_desgastado\broca_6_2_113_mel.npy,medianamente_desgastado,Con falla/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_389.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca_6_2_389_mel.npy,medianamente_desgastado,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_292.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca_6_2_292_mel.npy,medianamente_desgastado,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E3_Micrófono2 (condensador)\limpio_broca6_1_071.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca6_1_071_mel.npy,sin_desgaste,Con falla limpios/6mm_A100/E1_Micrófono2 (condensador),train,,original,condensador,E3,6,yes,linear,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_023.wav,D:\dataset\mels\sin_desgaste\broca_6_2_023_mel.npy,sin_desgaste,Con falla/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,sin_desgaste
D:/dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_098.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca_6_2_098_mel.npy,medianamente_desgastado,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_317.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca_6_2_317_mel.npy,medianamente_desgastado,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_118.wav,D:\dataset\mels\medianamente_desgastado\broca_6_2_118_mel.npy,medianamente_desgastado,Con falla/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_199.wav,D:\dataset\mels\medianamente_desgastado\broca_6_2_199_mel.npy,medianamente_desgastado,Con falla/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_517.wav,D:\dataset\mels\medianamente_desgastado\broca_6_2_517_mel.npy,desgastado,Con falla/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E3_Micrófono2 (condensador)\limpio_broca6_1_537.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca6_1_537_mel.npy,desgastado,Con falla limpios/6mm_A100/E1_Micrófono2 (condensador),train,,original,condensador,E3,6,yes,linear,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_084.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca_6_2_084_mel.npy,sin_desgaste,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_081.wav,D:\dataset\mels\medianamente_desgastado\broca_6_2_081_mel.npy,sin_desgaste,Con falla/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_403.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca_6_2_403_mel.npy,medianamente_desgastado,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_476.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca_6_2_476_mel.npy,desgastado,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla\6mm_A100\E4_Micrófono2 (condensador)\broca_6_2_470.wav,D:\dataset\mels\medianamente_desgastado\broca_6_2_470_mel.npy,desgastado,Con falla/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_493.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca_6_2_493_mel.npy,desgastado,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E3_Micrófono2 (condensador)\limpio_broca6_1_268.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca6_1_268_mel.npy,medianamente_desgastado,Con falla limpios/6mm_A100/E1_Micrófono2 (condensador),train,,original,condensador,E3,6,yes,linear,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E3_Micrófono2 (condensador)\limpio_broca6_1_267.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca6_1_267_mel.npy,medianamente_desgastado,Con falla limpios/6mm_A100/E1_Micrófono2 (condensador),train,,original,condensador,E3,6,yes,linear,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E3_Micrófono2 (condensador)\limpio_broca6_1_152.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca6_1_152_mel.npy,medianamente_desgastado,Con falla limpios/6mm_A100/E1_Micrófono2 (condensador),train,,original,condensador,E3,6,yes,linear,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_061.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca_6_2_061_mel.npy,sin_desgaste,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E3_Micrófono2 (condensador)\limpio_broca6_1_354.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca6_1_354_mel.npy,medianamente_desgastado,Con falla limpios/6mm_A100/E1_Micrófono2 (condensador),train,,original,condensador,E3,6,yes,linear,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E3_Micrófono2 (condensador)\limpio_broca6_1_452.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca6_1_452_mel.npy,desgastado,Con falla limpios/6mm_A100/E1_Micrófono2 (condensador),train,,original,condensador,E3,6,yes,linear,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E4_Micrófono2 (condensador)\limpio_broca_6_2_203.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca_6_2_203_mel.npy,medianamente_desgastado,Con falla limpios/6mm_A100/E2_Micrófono2 (condensador),train,,original,condensador,E4,6,yes,spiral,A100,prensa_mecanica,medianamente_desgastado
D:/dataset\Con falla limpios\6mm_A100\E3_Micrófono2 (condensador)\limpio_broca6_1_040.wav,D:\dataset\mels\medianamente_desgastado\limpio_broca6_1_040_mel.npy,sin_desgaste,Con falla limpios/6mm_A100/E1_Micrófono2 (condensador),train,,original,condensador,E3,6,yes,linear,A100,prensa_mecanica,medianamente_desgastado
